=== TOTAL BENEFICIARY PAYMENTS ANALYSIS ===
Total OUT Transactions: 662
Total Sent: 118,601.37 USDT
--------------------------------------------------------------------------------------------------------------
Address                                  | Beneficiary Name                    | Count | Total ($)      
--------------------------------------------------------------------------------------------------------------
TVw66GT1ksBD5L9G1WXsQcTRUSfNyy2ooZ       | Mohamad Al-Baz                      | 23    | 25,427.66      
TQfThB4pJZGw3nvuGRzS9XWwMvM1eU8UJN       | Unknown                             | 26    | 10,736.89      
TDyDyY1PJHm5w3WvbyWEyVmortxWLXix9K       | Unknown                             | 31    | 5,259.86       
TDYKY7KDE3Z9mJYovks7aWgMuqCzDaeGST       | Unknown                             | 11    | 5,222.94       
TWH2vD2sfeuQWrAmswfikAWhFNnaDGeesw       | Unknown                             | 10    | 5,078.90       
TJ34DXnYpQYPG7pHPgAzZMwYqkVrGJntz7       | Unknown                             | 15    | 4,611.37       
TK6emgWaVhi8c63SnYQ3ketYi1thMBLEDw       | Unknown                             | 32    | 3,729.66       
TAtMqJWzhmX4RL7kBJF9bJVTN6xXMreeE6       | Unknown                             | 18    | 3,555.08       
THcreDQhZEND2Cd6JCxim96w6Y9xpG5umw       | Unknown                             | 12    | 2,811.43       
TZ3omozCPLKHttefQqh23KdXQs78HoKcNJ       | Unknown                             | 12    | 2,347.53       
TStrfB7zdEGbiq6pnvDU4v1EY2MfruvKpZ       | Unknown                             | 15    | 2,282.97       
TWQb4FNBwNVni2ZEcy94fa9j8cVqefjsS9       | Unknown                             | 3     | 2,263.33       
TGAPqchGqQ8LA2EA7Ah9n97aZAceNgYjAC       | Unknown                             | 22    | 2,190.70       
TQkx3TbV61gZE45EC3e6TwJGtQofAhBpdH       | Unknown                             | 20    | 1,975.87       
THbSuTSsCA63yWSKPo2xkPWEkPV8wwMMji       | Unknown                             | 7     | 1,959.08       
TVF5EfYbYbMVaJbNeyLbm7hK2ST9GFnZqJ       | Unknown                             | 7     | 1,940.95       
TYjDyRmi9tyg18Jo7618wvmgSzaz45UahT       | Unknown                             | 5     | 1,810.27       
TE6xx6yFuGcrixf3QCnNC3JF7tJxJM5uVD       | Unknown                             | 10    | 1,810.06       
TF6SacvMxwdvRsnzRuezw2Stj4h9aZb4HS       | Unknown                             | 9     | 1,767.05       
THf9y7KfDqZo6EsvNvYgJSMmNL9LyU7ZsN       | Unknown                             | 9     | 1,526.46       
TKAUJna1WV93N9KKRLprzBk7antSBKXWFr       | Unknown                             | 15    | 1,475.16       
TXxFA58n6v8on1ecaS9tAh7Xvmf6fdsvLA       | Unknown                             | 17    | 1,295.37       
TJ8DQNipPCf97fKeUT27RgBKkkgWoFWgYD       | Unknown                             | 16    | 1,164.82       
THe8ZPqDb1JxBmesNAprWWTCKdC8PwxFdX       | Unknown                             | 4     | 1,153.68       
THDvFeqgKKMUEM5mcsdCzjbXyr5fCG9C1e       | Unknown                             | 10    | 1,103.00       
TKLmjMVKmSe9yxHG3ueDtRnrMTqFiAfkLb       | Unknown                             | 8     | 1,101.27       
TGcKjdAquMVNkh3EvUXvSN2AePsBXo1432       | Unknown                             | 7     | 1,059.15       
TAGe3FkEBeEdZbqbAgznwQ3naY1hkk3hyF       | Unknown                             | 14    | 1,040.96       
TQkwV4VrTQb6cVzw5HqPyUsTE7vV13GwWK       | Unknown                             | 12    | 1,035.39       
TYxRFkfBn1bTPSiKsLv1h36rHFtpyL35ea       | Unknown                             | 13    | 948.36         
TJMAes6WwdRExz5ocF8eKXLfEXSKQitt15       | Unknown                             | 10    | 886.20         
TKMqqPgjoBbC1e11XSnx3MHygeeHQYvhvo       | Unknown                             | 5     | 763.46         
TSJoSNEXLtBkWtf7mTSdMtUCn7QyhPkrzR       | Unknown                             | 2     | 726.68         
TVxfbsD383EnuBnwGTT2uSpyCMmMMRNNC8       | Unknown                             | 1     | 665.29         
THCgLCbfa7DVYNhWfcL5umcqP5Z5wZ8C6E       | Unknown                             | 9     | 618.30         
TJGWksUZFTQnP5zW9ySco4McXKQfe91io3       | Unknown                             | 11    | 611.41         
TGz4bFUAvZWkAB2vjfLEDVFAb3ctE9dWjg       | Unknown                             | 12    | 589.71         
TBm7NKNmhBxZ4Gt3kmkY4JDNqXr5KRNKrm       | Unknown                             | 9     | 585.25         
TJxSC3Qbbf8GpGvF2Bw1LQodzeAHEoFSHM       | Unknown                             | 4     | 528.08         
TBEYmTZopBhzZZvwSJVzeRdyBgJvAqcVi8       | Unknown                             | 3     | 510.19         
TCuRqyiwdbYMRW4LxSRGLGV8UpTXpr9HF8       | Unknown                             | 1     | 482.69         
THL2TqtjHNRp2RkQnbefRgL7ZNfbc8NcvB       | Unknown                             | 5     | 477.24         
TFUfsDCg7XRTR1zXz3W7ioZHNqVa7RSSB3       | Unknown                             | 7     | 464.78         
TH3GH4CQjB7REcL9syP2XknCmwjBg2VULT       | Unknown                             | 8     | 451.77         
TE5KCVkbKC5KSRPTDEcEeeh9i1fggBPfpB       | Unknown                             | 5     | 443.84         
THHekjmwEnmmGMCEfPBhzXn6iCTw93aSaB       | Unknown                             | 4     | 440.97         
TXL9PtGyokrh8D6zstyiLp4j12F4yHLz5h       | Unknown                             | 5     | 436.96         
TWEZXrq9MbZjpSYDZJV4cySKgeMbVQsgHC       | Unknown                             | 7     | 430.41         
TYrh2JX6Lkf1oGaMrFikyxWHzk6rdP66xC       | Unknown                             | 6     | 424.86         
TBjnk4xo5FzWZbjuebfwVGdC1tNzXbwoRq       | Unknown                             | 2     | 423.19         
TFRtgJX9cUaPzAUsvPkN2AFSJSx2kWi1n5       | Unknown                             | 3     | 410.45         
TYBp2TMpoXRZiwiRmXrQMtHWK99gFUbKQa       | Unknown                             | 2     | 364.76         
TMBurXSCAF8YMtLNdjosBmjM9a9b46D1D3       | Unknown                             | 3     | 344.86         
TQmFHWSPkYR8N2c3iSGp6DR4bQD4xzVTZj       | Unknown                             | 4     | 339.48         
TCFQqHYE4t23FqytSyfnv5CjX1ogXb9eZU       | Unknown                             | 4     | 310.79         
TWyL2crB2XXJuZxgeJ97121RaBVw9Mbrnv       | Unknown                             | 1     | 279.70         
TRWqfsJxbx9Kav9HJj82rTC1tgG498cEsK       | Unknown                             | 2     | 269.25         
TPTQhcKpWQsGmxRot7Sp5c21MKMJc8qsEy       | Unknown                             | 3     | 267.38         
TMhwW5gAyPbSs7uxRfwBpQa7zytRCUmeGf       | Unknown                             | 3     | 251.79         
TQdW2SWDA8WZ31YzHqCHbB3HHpwSY4xy9x       | Unknown                             | 2     | 251.03         
TNzeWLcjkzc7aUia65aq5R8Dn1WYVEPKN2       | Unknown                             | 3     | 249.19         
TRhcVPVwVgJ3Ah3Bz2Ek68MpW85LK9Ca7Z       | Unknown                             | 6     | 246.50         
THA4gqtBs1RMHJctYbHxgv7KXFjhg5gNiJ       | Unknown                             | 5     | 231.83         
TBq6E7Ysa75Q7zcn1nPq7GfmawZt7hQhQ4       | Unknown                             | 5     | 229.55         
TAyggkYPzSVYYNJnJHSsFmbqa2xvedJHAb       | Unknown                             | 1     | 216.54         
TN3QCMJJGAcYk4eHHmFEphRbFsb1Srq7ak       | Unknown                             | 7     | 216.26         
TJ3e32kkabyBuWbmvdqPMb21UuJ6PKEoZS       | Unknown                             | 2     | 207.43         
TC89qzd768Vd6uf9SHrVQE6fSWgteWKgQ9       | Unknown                             | 5     | 206.86         
TF52tWgrR1NU4B2uc5CWWdUyG5pgX9jTxR       | Unknown                             | 3     | 174.99         
TAWqhfA36Nwzbzscfsfn9nBUGRcHGjCuaq       | Unknown                             | 7     | 169.42         
TMNJXQyj6r4BRvkaxx49ist1ZWqz7Nvn6W       | Unknown                             | 2     | 163.84         
TRhzy6Pgx1CCGQCsrC4c1Q7L5fPoLhTmmK       | Unknown                             | 2     | 162.78         
TQ3wmTBFDwj5qBgUG666ziqfc6CeocPYLk       | Unknown                             | 3     | 153.85         
TVuVFSaZ22J54hECQsrj778MhgFj5o3tVS       | Unknown                             | 1     | 146.38         
TTSCu53KjdNrjhvAqE59E4GGgCkgN4n34N       | Unknown                             | 2     | 132.37         
TBoCsDpCaYFaSs2MMrR6Fb38zw9sA9tAni       | Unknown                             | 5     | 121.77         
TH9tqwrNgx5guqiqE299Gud5F5fVo4w3E1       | Unknown                             | 5     | 120.33         
TD5EQerD8cLrTjNnbnSyhtcoJE59TvsgJm       | Unknown                             | 1     | 118.06         
TQfr9QDeoU6UkhBSJdbHr3LuPoeQVMaz7F       | Unknown                             | 2     | 116.51         
TNAmnpyjKEaBJaDBMjKrsCayPk99QsoBQM       | Unknown                             | 1     | 99.60          
TLGYZbtvXzy1hPEou8wgjxgk7WpAwAYGch       | Unknown                             | 1     | 98.51          
TG8zbiu93bkiqhbja4bV9uWyER5BJ819o3       | Unknown                             | 3     | 89.65          
TDbPV5eV1c3SuaPTPhM6E7FxA6QujurVjr       | Unknown                             | 1     | 85.94          
TTTEv7gXmTMjPFnx1QVoEXc2j7etxDYFFS       | Unknown                             | 2     | 79.28          
TAom4NstmFRJhsGcTeAepJzj6n5x5Av1WX       | Unknown                             | 2     | 69.68          
TCVmScynL9qxvy9XpHcTcLtEwN2S9NLm7v       | Unknown                             | 2     | 67.81          
TMVMBaps9Jka7o548GmNF8iycpgwYsBEPy       | Unknown                             | 1     | 62.56          
TBYgF8SDbZydy2JpiPMVaiR4cadNkFHsY3       | Unknown                             | 1     | 61.84          
TRnWF5PMa2hStEt1zfkLtxWGDcEPzE1YKg       | Unknown                             | 1     | 58.28          
TVUt8THp1fsZLt1tMFT4QFHzftn27Tkkgk       | Unknown                             | 1     | 55.55          
TNcowu9Q1X6M5uv2qKj6S3BSTSwcdjYo3P       | Unknown                             | 2     | 51.67          
TESZecp7HuMFK3FaqurwUNxhh6BWAxf5A5       | Unknown                             | 1     | 50.00          
TVcR1RbC2yaR9rg8o3EwScGpEzraP5KX1d       | Unknown                             | 1     | 50.00          
TEu86G74XTZqRgVHdSaGqCypobM8aJyf1r       | Unknown                             | 2     | 50.00          
TYTxioKjzqREQwVEswdJJGUJSXjvPf2Rr1       | Unknown                             | 1     | 50.00          
TRfMFWyFCytpVp8p86MHDhvDLKerB2BetC       | Unknown                             | 1     | 47.21          
TArN1S4J87oeC63qkevtqyCnjBgodgLRqX       | Unknown                             | 1     | 44.00          
TRTDzRcG1UqV8vfzWqKsXcgyKhZWnGJy3m       | Unknown                             | 1     | 43.82          
TLVd5qPHGJoCKTc5pAbANJLLX8WWssKe7J       | Unknown                             | 1     | 37.00          
TKW2rHSLdEcxdcSmhC86sRRWjVaRyVPccD       | Unknown                             | 1     | 32.09          
TBJNToBcoPAeyJX1yj8GbhBP9WZga6xYNr       | Unknown                             | 1     | 32.02          
TCrpjERZNYzQyurnaZdTPcFeff71cX7u8c       | Unknown                             | 1     | 30.00          
TBg1Fh3VqnwfX4yQtbG7mz3chU1bZkwzxM       | Unknown                             | 1     | 25.72          
TU8PFNDprxTJmpWBEFTM5JrFZubCSHpEqM       | Unknown                             | 2     | 21.92          
TYyy3aDXjgbGUxz3hHX89ytHtvMyGcMSmS       | Unknown                             | 1     | 20.85          
TFW6ygFea4nSBqGgF2NssWiWVf9wMP5PQt       | Unknown                             | 1     | 18.92          
TXgNV9B6jqbvKWFsmUT6HqvSxN23QQ5z4T       | Unknown                             | 1     | 13.74          
TJjD1wHEbRRnuQcVr6KKgPyC6Z83v7Afm8       | Unknown                             | 1     | 13.32          
TE9yE9uGo8s95ZSHXnxzbnRR2YPGkb7FA8       | Unknown                             | 1     | 10.00          
TDAqFK9NgMezj7c6D9QmrXwNYNC65riFP2       | Unknown                             | 1     | 10.00          
--------------------------------------------------------------------------------------------------------------
